score_threshold_min,n_occupations_at_or_above,workers_at_or_above,pct_workforce_at_or_above
9.0,1,49318,0.217
8.5,5,273077,1.2013
8.0,12,1104132,4.8571
7.5,41,2666360,11.7294
7.0,47,2752961,12.1104
6.5,63,3449439,15.1742
6.0,90,4669215,20.5401
5.5,116,5890481,25.9125
5.0,131,6236350,27.434
4.5,163,7065735,31.0825
4.0,200,8379972,36.8638
3.5,252,11125009,48.9394
3.0,328,12697244,55.8557
2.5,405,15829057,69.6327
2.0,438,17725208,77.9739
1.5,487,20944102,92.134
1.0,502,22732223,100.0
